color,from,guid,name,role,tag,to,type
#BB4491,2009-05-03T18:30:00.000Z,lcoqyvoqy6x3gvwovk,Orchid Enterprises,Graphic Designer,ORCHID,2009-11-29T18:30:00.000Z,FULL TIME
#EC791F,2009-11-30T18:30:00.000Z,lcoqztfx3mmzvalalx3,Castle Solutions,Web Designer,CASTLE,2011-05-16T18:30:00.000Z,FULL TIME
#38527C,2011-05-22T18:30:00.000Z,lcor09bkjksti4e8r2e,Blue Horizon Infotech,Web Designer,BHI,2012-05-29T18:30:00.000Z,FULL TIME
#E01C30,2012-06-03T18:30:00.000Z,lcor0m70hxxsz0u089,Steps On Web,Sr Web Designer,SOW,2013-07-07T18:30:00.000Z,FULL TIME
#DF2228,2013-07-10T18:30:00.000Z,lcorx0cu1chpohbb5so,Fingent Global Solutions,"UI Designer, TL UI, Frontend Developer, TL Frontend",FINGENT,2020-09-03T18:30:00.000Z,FULL TIME
#464646,2020-09-06T18:30:00.000Z,lcos0d5sa3r1jlj5nth,BEO,Technical Lead - Frontend,BEO,2020-12-21T18:30:00.000Z,FULL TIME
#8b48AE,2020-12-27T18:30:00.000Z,lcos2uol6hada1lalni,Aspire Systems (RapidValue),Senior Frontend Developer,ASPIRE,2022-03-28T18:30:00.000Z,FULL TIME
#02639F,2022-03-21T18:30:00.000Z,lcoswjqb2knoh41nsyk,Atos India Private Limited (Altezzasys),Frontend Developer,ATOS,2023-02-09T18:30:00.000Z,FREELANCE
#E4865A,2022-04-03T18:30:00.000Z,lcot56o7oina0fe3zxk,Elixr Labs Technologies Pvt Ltd,ReactJS Architect,ELIXR,null,FULL TIME
#69AFE0,2021-11-29T18:30:00.000Z,lcot7kex85map2ipva4,Java R&D Pvt. Ltd.,"Training, Coding & Development Support",JAVARND,2022-02-14T18:30:00.000Z,PART TIME
#d24e16,2021-10-22T18:30:00.000Z,lcot8zb7mveg13f569o,Altimetric,ReactJS Interviewer,ALTIMETRIC,2022-02-16T18:30:00.000Z,PART TIME
